Date,Open,High,Low,Close,Adj Close,Volume
2018-11-22,24700.000000,25200.000000,24700.000000,25100.000000,24791.470703,17454000
2018-11-23,25300.000000,25450.000000,24875.000000,25100.000000,24791.470703,11492000
2018-11-26,24800.000000,25400.000000,24800.000000,25225.000000,24914.933594,12867300
2018-11-27,25200.000000,25500.000000,25000.000000,25500.000000,25186.554688,14797800
2018-11-28,25625.000000,25625.000000,25400.000000,25450.000000,25137.169922,18137500
2018-11-29,25500.000000,26200.000000,25500.000000,26200.000000,25877.949219,22769500
2018-11-30,26200.000000,26200.000000,25775.000000,26050.000000,25729.792969,35606900
2018-12-03,26075.000000,26975.000000,25500.000000,25800.000000,25566.289063,20184600
2018-12-04,25800.000000,26475.000000,25775.000000,26200.000000,25962.664063,23846500
2018-12-05,25600.000000,26150.000000,25575.000000,26150.000000,25913.117188,14998800
2018-12-06,25850.000000,26300.000000,25600.000000,26300.000000,26061.759766,15090000
2018-12-07,25950.000000,26050.000000,25800.000000,25950.000000,25714.929688,14214000
2018-12-10,25600.000000,26025.000000,25600.000000,25900.000000,25665.382813,16244200
2018-12-11,25650.000000,26000.000000,25625.000000,25800.000000,25566.289063,18603400
2018-12-12,25950.000000,25950.000000,25650.000000,25825.000000,25591.062500,24324600
2018-12-13,26000.000000,26025.000000,25725.000000,25825.000000,25591.062500,16856100
2018-12-14,25800.000000,25900.000000,25700.000000,25825.000000,25591.062500,36887000
2018-12-17,25925.000000,26000.000000,25750.000000,25825.000000,25591.062500,20287700
2018-12-18,25500.000000,25575.000000,24900.000000,25325.000000,25095.591797,26407800
2018-12-19,25200.000000,26150.000000,25200.000000,26150.000000,25913.117188,20444100
2018-12-20,25600.000000,25850.000000,25350.000000,25575.000000,25343.326172,18891000
2018-12-21,25200.000000,25875.000000,25200.000000,25850.000000,25615.835938,17995900
2018-12-24,25850.000000,25850.000000,25850.000000,25850.000000,25615.835938,0
2018-12-25,25850.000000,25850.000000,25850.000000,25850.000000,25615.835938,0
2018-12-26,25850.000000,26125.000000,25700.000000,26125.000000,25888.343750,13302300
2018-12-27,26200.000000,26275.000000,25900.000000,25975.000000,25739.703125,10053100
2018-12-28,25975.000000,26200.000000,25900.000000,26000.000000,25764.476563,10893500
2018-12-31,26000.000000,26000.000000,26000.000000,26000.000000,25764.476563,0
2019-01-01,26000.000000,26000.000000,26000.000000,26000.000000,25764.476563,0
2019-01-02,26000.000000,26225.000000,26000.000000,26200.000000,25962.664063,7191200
2019-01-03,26000.000000,26100.000000,25575.000000,25900.000000,25665.382813,14471600
2019-01-04,25875.000000,26025.000000,25625.000000,26025.000000,25789.250000,10293000
2019-01-07,26325.000000,26625.000000,26225.000000,26225.000000,25987.437500,14687600
2019-01-08,26150.000000,26600.000000,26025.000000,26200.000000,25962.664063,13249500
2019-01-09,26500.000000,26600.000000,26125.000000,26275.000000,26036.986328,16974200
2019-01-10,26500.000000,26500.000000,25950.000000,26275.000000,26036.986328,22862900
2019-01-11,26400.000000,26500.000000,26175.000000,26250.000000,26012.210938,16965300
2019-01-14,26100.000000,26175.000000,25750.000000,26000.000000,25764.476563,17509500
2019-01-15,26150.000000,26300.000000,25950.000000,26300.000000,26061.759766,17552600
2019-01-16,26300.000000,26425.000000,26225.000000,26425.000000,26185.626953,18994500
2019-01-17,26450.000000,26650.000000,26425.000000,26650.000000,26408.587891,18330800
2019-01-18,26700.000000,27125.000000,26575.000000,27125.000000,26879.285156,20174700
2019-01-21,27125.000000,28000.000000,26950.000000,27725.000000,27473.849609,17423600
2019-01-22,28000.000000,28100.000000,27250.000000,28000.000000,27746.359375,18381400
2019-01-23,28000.000000,28000.000000,27375.000000,27500.000000,27250.888672,19702500
2019-01-24,27150.000000,27425.000000,26775.000000,27300.000000,27052.701172,21356200
2019-01-25,27000.000000,27600.000000,27000.000000,27500.000000,27250.888672,13788800
2019-01-28,27575.000000,27575.000000,27375.000000,27475.000000,27226.115234,13940800
2019-01-29,27225.000000,27750.000000,27200.000000,27700.000000,27449.076172,15535800
2019-01-30,27800.000000,27800.000000,27475.000000,27600.000000,27349.982422,15257000
2019-01-31,27600.000000,28200.000000,27600.000000,28175.000000,27919.773438,27180900
2019-02-01,28400.000000,28750.000000,27800.000000,28175.000000,27919.773438,11543900
2019-02-04,28175.000000,28175.000000,27500.000000,27500.000000,27250.888672,22769300
2019-02-05,27500.000000,27500.000000,27500.000000,27500.000000,27250.888672,0
2019-02-06,27500.000000,27700.000000,27475.000000,27675.000000,27424.302734,24399300
2019-02-07,27675.000000,27675.000000,27525.000000,27650.000000,27399.529297,12739500
2019-02-08,27650.000000,27675.000000,27500.000000,27600.000000,27349.982422,13053700
2019-02-11,27600.000000,27650.000000,27300.000000,27475.000000,27226.115234,7527800
2019-02-12,27650.000000,27650.000000,27250.000000,27300.000000,27052.701172,19176700
2019-02-13,27300.000000,27450.000000,27050.000000,27100.000000,26854.511719,20623100
2019-02-14,27025.000000,27025.000000,26900.000000,26900.000000,26656.324219,21747700
2019-02-15,26800.000000,27050.000000,26675.000000,26800.000000,26557.230469,16268000
2019-02-18,27050.000000,27500.000000,27050.000000,27400.000000,27151.794922,12598200
2019-02-19,27100.000000,27400.000000,26900.000000,26900.000000,26656.324219,12893800
2019-02-20,27250.000000,27975.000000,27200.000000,27500.000000,27250.888672,17916600
2019-02-21,27700.000000,27800.000000,27350.000000,27525.000000,27275.662109,10912300
2019-02-22,27375.000000,27625.000000,27300.000000,27450.000000,27201.341797,9654300
2019-02-25,27450.000000,27500.000000,27275.000000,27450.000000,27201.341797,9577400
2019-02-26,27500.000000,27775.000000,27475.000000,27775.000000,27523.398438,19689200
2019-02-27,27825.000000,27850.000000,27725.000000,27825.000000,27572.945313,15703900
2019-02-28,27850.000000,27900.000000,27550.000000,27575.000000,27325.208984,19873200
2019-03-01,27825.000000,28000.000000,27675.000000,27700.000000,27449.076172,14517900
2019-03-04,27600.000000,27700.000000,27575.000000,27675.000000,27424.302734,12782100
2019-03-05,27500.000000,27525.000000,27200.000000,27475.000000,27226.115234,9299900
2019-03-06,27775.000000,27775.000000,27450.000000,27450.000000,27201.341797,7555400
2019-03-07,27450.000000,27450.000000,27450.000000,27450.000000,27201.341797,0
2019-03-08,27725.000000,27850.000000,27200.000000,27200.000000,26953.605469,12225200
